userid,name,age,dob_day,dob_year,dob_month,ingredients,gender,methods,weight,food_tag,cooktime,preptime,servingsize,tagname/taste,mood,alcoholic,receipes_liked,likes,searchids,sharesbyyou,sharestoyou,signuplocation,latitude,longitude,tags_counts,video_id,likedvideo,seasons,marital status,time of day,week day,types of food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,winter,Not Married,18,Thu,Non Veg
18664802,Irwin Allen,14,25,2006,3,,Female,,Overweight,Suffer,35,43,5,Sweet,Stress,Yes,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",166,,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",Delhi,22,82,10,,,summer,Not Married,22,Sun,Non Veg
18663854,Irwin Cotler,22,14,1998,5,,Female,Grilling,Underweight,Dinner,20,22,1,Salty,party,No,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",128,,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",Delhi,25,80,,,,autumn,Married,13,Mon,Veg
18662077,Irwin Jacobs,76,3,1944,6,,Female,Poaching,Normal,Lunch,40,43,3,Sour,Boredom,No,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",175,,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",Mumbai,37,95,,,,summer,Married,17,Thu,Veg
18668262,Irwin Kershner,62,17,1958,2,,Female,Poaching,Normal,Dinner,10,18,2,Salty,Stress,Yes,Masala Dosa,50,,Masala Dosa,Masala Dosa,Jaipur,12,68,,,,autumn,Married,10,Fri,Non Veg
18663222,Irwin Rose,62,5,1958,4,,Male,Roasting,Normal,Breakfast,55,63,1,Salty,Ominous,Yes,"Panipuri, Gol Gappe",365,,"Panipuri, Gol Gappe","Panipuri, Gol Gappe",Benglure,16,82,,,,summer,Not Married,24,Sat,Non Veg
18666807,Irwin Shaw,13,1,2007,5,,Male,Simmering,Normal,Tiffin,40,50,4,Salty,Stress,Yes,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",182,,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice","Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",Benglure,23,92,,,,spring,Not Married,17,Fri,Non Veg
18662230,Isaac Abendana,71,8,1949,4,,Female,Baking,Overweight,Suffer,25,30,1,Bitter,Angry,Yes,,372,,,,Delhi,25,70,,,,summer,Married,19,Thu,Veg
18668859,Isaac Asimov,18,2,2002,11,,Female,Baking,Overweight,Dinner,50,56,1,Pungent,Ominous,Yes,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",161,,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",Mumbai,17,96,,,,autumn,Married,24,Sun,Veg
18669698,Isaac Babel,15,13,2005,9,,Female,Steaming,Overweight,Suffer,60,66,2,Sweet,Lonely,No,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",301,,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",Mumbai,28,83,,,,spring,Married,5,Thu,Non Veg
18663051,Isaac Bashevis Singer,55,12,1965,1,,Female,Steaming,Overweight,Breakfast,45,53,1,Sour,Happy,No, 'RATED\n  Located opposite to wildcraft store..this place is on the 4th floor.\nThe ambience is not good..feels very congested.\nWell for starters,282,, 'RATED\n  Located opposite to wildcraft store..this place is on the 4th floor.\nThe ambience is not good..feels very congested.\nWell for starters, 'RATED\n  Located opposite to wildcraft store..this place is on the 4th floor.\nThe ambience is not good..feels very congested.\nWell for starters,Mumbai,25,78,,,,autumn,Not Married,20,Fri,Veg
